Word,Word_freq
$50pp,1
saucesoverall,1
watermelonoyster,1
eaters,1
servicewe,1
dealthe,1
sadcocktails,1
pricy,1
representation,1
choicescrab,1
firmer,1
turned,1
goodiessteamed,1
scramble,1
avoiding,1
hed,1
startertiger,1
shaved,1
tum,1
backsome,1
oily,1
topping,1
immensely,1
cus,1
tart,1
hates,1
sauce*pomelo,1
much*grilled,1
covered,1
1*oysters,1
checking,1
possiblesome,1
unbelievably,1
possiblei,1
earlier,1
corona,1
waitwe,1
alternative,1
shackles,1
woonseen,1
pleeease,1
thaidrunken,1
hr,1
liquidy,1
thick,1
favors,1
bites,1
forever,1
meal*i,1
nevertheless,1
broke,1
hei,1
alots,1
iti,1
mixing,1
athe,1
*coconut,1
favorite*,1
many's,1
yelpers,1
fellow,1
toughthe,1
roughly,1
yaangplenty,1
*friday,1
place*,1
lucky,1
indian,1
familiar,1
apart,1
allergies,1
shellfish,1
fabulousanother,1
shocked,1
plating,1
garlicy,1
dishthey,1
switching,1
specialty,1
includes,1
1230330,1
blandi,1
nicely,1
decorated,1
underwhelmed*the,1
file,1
areait's,1
amazingthe,1
balancedthe,1
xxxs,1
amazingwings,1
soliddespite,1
company,1
thatwe,1
fruity,1
moving,1
consume,1
comforting,1
alley,1
fries,1
pleasing,1
aesthetically,1
betterthe,1
earthy,1
minimalist,1
lauren,1
nuanced,1
tasteit,1
accompaniments,1
shell,1
brine,1
fullflavored,1
exotic,1
outstaaaanding,1
masaman,1
rib,1
favourite,1
thiswe,1
who's,1
riceinstead,1
arethe,1
according,1
airthe,1
lingering,1
smells,1
regulars,1
spin,1
beforethai,1
dinei,1
mealcoconut,1
lover,1
crunchies,1
highlights,1
switch,1
loves,1
nomore,1
imagine,1
shutdown,1
bottles,1
saucei,1
tomyum,1
haha,1
snatched,1
amazingstopped,1
sounded,1
hehe,1
takeoutfood,1
tomatoes,1
mean,1
flakesi,1
oldfashioned,1
cleanas,1
licking,1
sop,1
substantialcoconut,1
mood,1
thesezabb,1
stand,1
styleamazing,1
meaning,1
curryi,1
rocky,1
angeles,1
los,1
worst,1
koong,1
works,1
reputable,1
2x,1
contains,1
soho,1
walked,1
met,1
pleased,1
words,1
finger,1
simmered,1
eggplant,1
broccoli,1
additionally,1
